tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,formation_error,d1_track,d1_formation,d1_avoidance,d1_altitude,d2_track,d2_formation,d2_avoidance,d2_altitude
893,4.2417,-2.255,0.567,-5.034,-2.990,0.935,-4.971,-7.280,0.520,-5.036,-7.974,0.965,-4.970,0.034,0.822,0.034,0.000,0.029,0.823,0.034,0.000,0.030
894,4.2567,-2.183,0.533,-5.028,-2.936,0.903,-4.976,-7.218,0.488,-5.030,-7.913,0.931,-4.975,0.036,0.834,0.036,0.000,0.024,0.828,0.036,0.000,0.025
895,4.2717,-2.123,0.503,-5.010,-2.869,0.871,-4.990,-7.142,0.452,-5.017,-7.857,0.903,-4.988,0.034,0.835,0.034,0.000,0.010,0.840,0.034,0.000,0.012
896,4.2867,-2.057,0.469,-4.989,-2.806,0.847,-5.007,-7.072,0.424,-4.996,-7.797,0.875,-5.005,0.030,0.843,0.030,0.000,0.007,0.849,0.030,0.000,0.005
897,4.3017,-1.999,0.438,-4.966,-2.737,0.821,-5.025,-6.993,0.394,-4.979,-7.741,0.849,-5.021,0.028,0.845,0.028,0.000,0.025,0.862,0.028,0.000,0.021
898,4.3167,-1.933,0.403,-4.955,-2.672,0.796,-5.035,-6.922,0.370,-4.964,-7.679,0.816,-5.032,0.022,0.851,0.022,0.000,0.035,0.867,0.022,0.000,0.032
899,4.3317,-1.873,0.372,-4.958,-2.602,0.764,-5.035,-6.842,0.344,-4.961,-7.621,0.782,-5.034,0.027,0.848,0.027,0.000,0.035,0.874,0.027,0.000,0.034
900,4.3467,-1.805,0.338,-4.973,-2.537,0.733,-5.023,-6.771,0.323,-4.969,-7.558,0.742,-5.025,0.023,0.850,0.024,0.000,0.023,0.873,0.024,0.000,0.025
901,4.3617,-1.748,0.312,-5.002,-2.465,0.699,-5.003,-6.688,0.297,-4.980,-7.503,0.708,-5.011,0.039,0.845,0.040,0.000,0.003,0.883,0.040,0.000,0.011
902,4.3767,-1.672,0.278,-5.023,-2.405,0.671,-4.986,-6.622,0.280,-5.001,-7.436,0.669,-4.994,0.031,0.853,0.032,0.000,0.014,0.880,0.032,0.000,0.006
903,4.3917,-1.608,0.251,-5.043,-2.333,0.636,-4.971,-6.545,0.259,-5.015,-7.373,0.631,-4.981,0.040,0.848,0.041,0.000,0.029,0.881,0.041,0.000,0.019
904,4.4067,-1.532,0.221,-5.048,-2.267,0.601,-4.966,-6.477,0.243,-5.023,-7.301,0.587,-4.975,0.037,0.848,0.038,0.000,0.034,0.873,0.038,0.000,0.025
905,4.4217,-1.463,0.197,-5.040,-2.196,0.557,-4.972,-6.403,0.222,-5.019,-7.234,0.542,-4.979,0.041,0.839,0.041,0.000,0.028,0.867,0.041,0.000,0.021
906,4.4367,-1.388,0.174,-5.023,-2.131,0.512,-4.985,-6.334,0.204,-5.006,-7.164,0.493,-4.991,0.038,0.835,0.039,0.000,0.015,0.859,0.039,0.000,0.009
907,4.4517,-1.314,0.155,-5.000,-2.061,0.462,-5.003,-6.263,0.183,-4.987,-7.093,0.444,-5.007,0.036,0.826,0.037,0.000,0.003,0.850,0.037,0.000,0.007
908,4.4667,-1.231,0.131,-4.986,-2.003,0.421,-5.016,-6.202,0.170,-4.966,-7.021,0.397,-5.023,0.030,0.832,0.031,0.000,0.016,0.842,0.031,0.000,0.023
909,4.4817,-1.146,0.110,-4.976,-1.939,0.381,-5.026,-6.140,0.155,-4.951,-6.942,0.352,-5.035,0.029,0.834,0.030,0.000,0.026,0.830,0.030,0.000,0.035
910,4.4967,-1.070,0.096,-4.974,-1.870,0.342,-5.027,-6.070,0.135,-4.951,-6.870,0.317,-5.035,0.024,0.832,0.026,0.000,0.027,0.826,0.026,0.000,0.035
911,4.5117,-0.985,0.081,-4.982,-1.806,0.310,-5.019,-6.008,0.120,-4.965,-6.792,0.286,-5.025,0.029,0.836,0.029,0.000,0.019,0.817,0.029,0.000,0.025
912,4.5267,-0.915,0.072,-5.001,-1.735,0.279,-5.004,-5.931,0.100,-4.982,-6.725,0.261,-5.010,0.020,0.835,0.021,0.000,0.004,0.821,0.021,0.000,0.010
913,4.5417,-0.828,0.058,-5.014,-1.674,0.253,-4.990,-5.871,0.087,-5.008,-6.648,0.235,-4.992,0.032,0.845,0.032,0.000,0.010,0.815,0.032,0.000,0.008
914,4.5567,-0.756,0.051,-5.029,-1.601,0.226,-4.977,-5.795,0.070,-5.024,-6.577,0.214,-4.979,0.027,0.842,0.027,0.000,0.023,0.816,0.027,0.000,0.021
915,4.5717,-0.676,0.043,-5.033,-1.532,0.206,-4.973,-5.726,0.056,-5.031,-6.501,0.198,-4.974,0.032,0.846,0.032,0.000,0.027,0.814,0.032,0.000,0.026
916,4.5867,-0.607,0.037,-5.026,-1.456,0.192,-4.978,-5.646,0.042,-5.026,-6.431,0.189,-4.978,0.024,0.843,0.024,0.000,0.022,0.819,0.024,0.000,0.022
917,4.6017,-0.540,0.031,-5.010,-1.384,0.185,-4.990,-5.565,0.030,-5.016,-6.368,0.186,-4.988,0.016,0.846,0.016,0.000,0.010,0.831,0.016,0.000,0.012
918,4.6167,-0.464,0.025,-4.990,-1.312,0.182,-5.007,-5.492,0.020,-4.997,-6.294,0.185,-5.004,0.018,0.849,0.018,0.000,0.007,0.833,0.018,0.000,0.004
919,4.6317,-0.398,0.021,-4.967,-1.232,0.179,-5.024,-5.408,0.012,-4.982,-6.226,0.184,-5.018,0.008,0.845,0.010,0.000,0.024,0.840,0.010,0.000,0.018
920,4.6467,-0.319,0.016,-4.957,-1.164,0.174,-5.033,-5.338,0.005,-4.969,-6.152,0.181,-5.029,0.014,0.852,0.014,0.000,0.033,0.842,0.014,0.000,0.029
921,4.6617,-0.255,0.014,-4.957,-1.082,0.164,-5.033,-5.252,-0.002,-4.967,-6.084,0.174,-5.030,0.010,0.845,0.011,0.000,0.033,0.848,0.011,0.000,0.030
922,4.6767,-0.181,0.012,-4.970,-1.006,0.152,-5.023,-5.175,-0.005,-4.977,-6.010,0.163,-5.021,0.011,0.841,0.012,0.000,0.023,0.847,0.012,0.000,0.021
923,4.6917,-0.116,0.011,-4.996,-0.923,0.140,-5.004,-5.090,-0.009,-4.994,-5.940,0.152,-5.005,0.021,0.832,0.021,0.000,0.004,0.850,0.021,0.000,0.005
924,4.7067,-0.040,0.010,-5.018,-0.848,0.128,-4.985,-5.017,-0.010,-5.016,-5.863,0.141,-4.986,0.019,0.830,0.019,0.000,0.015,0.846,0.019,0.000,0.014
925,4.7217,0.029,0.011,-5.038,-0.768,0.116,-4.971,-4.936,-0.010,-5.030,-5.790,0.129,-4.973,0.026,0.823,0.026,0.000,0.029,0.847,0.026,0.000,0.027
926,4.7367,0.105,0.012,-5.043,-0.695,0.100,-4.966,-4.862,-0.009,-5.036,-5.716,0.114,-4.968,0.024,0.824,0.025,0.000,0.034,0.845,0.025,0.000,0.032
